site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pinus pinaster,Pinupina,shrub,0.1999999999999993,1,1,5,NA,NA,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Stauracanthus boivinii,Stauboiv,tree,0,0,NA,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Stauracanthus boivinii,Stauboiv,shrub,1.1500000000000021,1,0,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ulex borgiae,Ulexborg,tree,0,0,NA,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Teucrium fruticans,Teucfrut,tree,0,0,NA,2,NA,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Halimium halimifolium,Halihali,shrub,0,0,NA,5,0,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Phillyrea angustifolia,Philangu,tree,0,0,NA,2,NA,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Rosa sempervirens,Rosasemp,tree,0,0,NA,2,NA,NA,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus suber,Quersube,shrub,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista triacanthos,Genitria,tree,0,0,NA,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus populifolius,Cistpopu,tree,0,0,NA,4,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Calluna vulgaris,Callvulg,shrub,0.3999999999999986,1,2,3,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,bare,Bare,shrub,24.35,1,NA,NA,NA,NA,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Phillyrea angustifolia,Philangu,shrub,0,0,NA,2,NA,2,2
