species,site,shrub_tree,in_out,cover,presence
Calluna vulgaris,Gavilanes,shrub,inside,0,0
Calluna vulgaris,Gavilanes,tree,inside,0,0
Calluna vulgaris,Gavilanes,shrub,outside,0.7000000000000028,1
Calluna vulgaris,Gavilanes,tree,outside,0,0
Calluna vulgaris,Hernan_Martin,shrub,inside,0,0
Calluna vulgaris,Hernan_Martin,tree,inside,0,0
Calluna vulgaris,Hernan_Martin,shrub,outside,1.149999999999995,1
Calluna vulgaris,Hernan_Martin,tree,outside,0,0
Calluna vulgaris,Laguna_Picacho,shrub,inside,0,0
Calluna vulgaris,Laguna_Picacho,tree,inside,0,0
Calluna vulgaris,Laguna_Picacho,shrub,outside,0,0
Calluna vulgaris,Laguna_Picacho,tree,outside,0,0
Calluna vulgaris,Las_Naranjas,shrub,inside,0,0
Calluna vulgaris,Las_Naranjas,tree,inside,0,0
Calluna vulgaris,Las_Naranjas,shrub,outside,0,0
Calluna vulgaris,Las_Naranjas,tree,outside,0,0
Calluna vulgaris,Laurel,shrub,inside,11.68,1
Calluna vulgaris,Laurel,tree,inside,0,0
Calluna vulgaris,Laurel,shrub,outside,2.1000000000000014,1
Calluna vulgaris,Laurel,tree,outside,0,0
Calluna vulgaris,Mogea_Luenga2,shrub,inside,0,0
Calluna vulgaris,Mogea_Luenga2,tree,inside,0,0
Calluna vulgaris,Mogea_Luenga2,shrub,outside,0,0
Calluna vulgaris,Mogea_Luenga2,tree,outside,0,0
Calluna vulgaris,Palancar,shrub,inside,0,0
Calluna vulgaris,Palancar,tree,inside,0,0
Calluna vulgaris,Palancar,shrub,outside,0,0
Calluna vulgaris,Palancar,tree,outside,0,0
Calluna vulgaris,Puertollano,shrub,inside,0.19999999999999996,1
Calluna vulgaris,Puertollano,tree,inside,0,0
Calluna vulgaris,Puertollano,shrub,outside,0,0
Calluna vulgaris,Puertollano,tree,outside,0,0
Calluna vulgaris,Teja1,shrub,inside,0,0
Calluna vulgaris,Teja1,tree,inside,0,0
Calluna vulgaris,Teja1,shrub,outside,0,0
Calluna vulgaris,Teja1,tree,outside,0,0
Ceratonia siliqua,Aljibe,shrub,inside,0,0
Ceratonia siliqua,Aljibe,tree,inside,0,0
Ceratonia siliqua,Aljibe,shrub,outside,0,0
Ceratonia siliqua,Aljibe,tree,outside,0,0
Ceratonia siliqua,Barrancones,shrub,inside,0,0
Ceratonia siliqua,Barrancones,tree,inside,0,0
Ceratonia siliqua,Barrancones,shrub,outside,0,0
Ceratonia siliqua,Barrancones,tree,outside,0,0
Ceratonia siliqua,Beatas1,shrub,inside,0,0
Ceratonia siliqua,Beatas1,tree,inside,0,0
Ceratonia siliqua,Beatas1,shrub,outside,0,0
Ceratonia siliqua,Beatas1,tree,outside,0,0
Ceratonia siliqua,Caheruelas4,shrub,inside,0,0
Ceratonia siliqua,Caheruelas4,tree,inside,0,0
Ceratonia siliqua,Caheruelas4,shrub,outside,0,0
Ceratonia siliqua,Caheruelas4,tree,outside,0,0
Ceratonia siliqua,Caheruelas5,shrub,inside,0,0
Ceratonia siliqua,Caheruelas5,tree,inside,0,0
Ceratonia siliqua,Caheruelas5,shrub,outside,0,0
Ceratonia siliqua,Caheruelas5,tree,outside,0,0
Ceratonia siliqua,Cucarretes1,shrub,inside,0,0
Ceratonia siliqua,Cucarretes1,tree,inside,0,0
Ceratonia siliqua,Cucarretes1,shrub,outside,0,0
Ceratonia siliqua,Cucarretes1,tree,outside,0,0
Ceratonia siliqua,Cucarretes2,shrub,inside,0,0
Ceratonia siliqua,Cucarretes2,tree,inside,0,0
Ceratonia siliqua,Cucarretes2,shrub,outside,0,0
Ceratonia siliqua,Cucarretes2,tree,outside,0,0
Ceratonia siliqua,Cuevas_Hospital2,shrub,inside,0,0
Ceratonia siliqua,Cuevas_Hospital2,tree,inside,0,0
Ceratonia siliqua,Cuevas_Hospital2,shrub,outside,0,0
Ceratonia siliqua,Cuevas_Hospital2,tree,outside,0,0
Ceratonia siliqua,Faldas_Rubio1,shrub,inside,0,0
Ceratonia siliqua,Faldas_Rubio1,tree,inside,0,0
Ceratonia siliqua,Faldas_Rubio1,shrub,outside,0,0
Ceratonia siliqua,Faldas_Rubio1,tree,outside,0,0
Ceratonia siliqua,Faldas_Rubio2,shrub,inside,0,0
Ceratonia siliqua,Faldas_Rubio2,tree,inside,0,0
Ceratonia siliqua,Faldas_Rubio2,shrub,outside,0,0
Ceratonia siliqua,Faldas_Rubio2,tree,outside,0,0
Ceratonia siliqua,Garganta_Honda,shrub,inside,0,0
Ceratonia siliqua,Garganta_Honda,tree,inside,0,0
Ceratonia siliqua,Garganta_Honda,shrub,outside,0,0
Ceratonia siliqua,Garganta_Honda,tree,outside,0,0
Ceratonia siliqua,Gavilanes,shrub,inside,0,0
Ceratonia siliqua,Gavilanes,tree,inside,0,0
Ceratonia siliqua,Gavilanes,shrub,outside,0,0
Ceratonia siliqua,Gavilanes,tree,outside,0,0
Ceratonia siliqua,Hernan_Martin,shrub,inside,0,0
Ceratonia siliqua,Hernan_Martin,tree,inside,0,0
Ceratonia siliqua,Hernan_Martin,shrub,outside,0,0
Ceratonia siliqua,Hernan_Martin,tree,outside,0,0
Ceratonia siliqua,Laguna_Picacho,shrub,inside,0,0
Ceratonia siliqua,Laguna_Picacho,tree,inside,2.999999999999999,1
Ceratonia siliqua,Laguna_Picacho,shrub,outside,0,0
Ceratonia siliqua,Laguna_Picacho,tree,outside,0,0
Ceratonia siliqua,Las_Naranjas,shrub,inside,0,0
Ceratonia siliqua,Las_Naranjas,tree,inside,0,0
Ceratonia siliqua,Las_Naranjas,shrub,outside,0,0
Ceratonia siliqua,Las_Naranjas,tree,outside,0,0
